Code
NZD
NZD
NZD
NZD
NZD
AUD
AUD
AUD
AUD
AUD
AUD
AUD
AUD
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
EUR
GBP
GBP
GBP
USD
USD
USD
USD
USD
USD
USD
USD
USD
USD
USD
USD
HKD
CAD
JPY
AFN
ALL
DZD
XCD
XCD
XCD
XCD
XCD
XCD
XCD
XCD
ARS
AMD
ANG
ANG
AZN
BSD
BHD
BDT
BBD
BYR
BZD
XOF
XOF
XOF
XOF
XOF
XOF
XOF
XOF
BMD
INR
INR
BOB
BWP
NOK
NOK
NOK
BRL
BND
BGN
BIF
KHR
XAF
XAF
XAF
XAF
XAF
XAF
CVE
KYD
CLP
CNY
COP
KMF
CDF
CRC
HRK
CUP
CYP
CZK
DKK
DKK
DKK
DJF
DOP
IDR
IDR
ECS
EGP
SVC
ETB
ETB
EEK
FKP
FJD
XPF
XPF
XPF
GMD
GEL
GIP
GTQ
GNF
GYD
HTG
HNL
HUF
ISK
IRR
IQD
ILS
JMD
JOD
KZT
KES
KPW
KRW
KWD
KGS
LAK
LVL
LBP
LSL
LRD
LYD
CHF
CHF
LTL
MOP
MKD
MGA
MWK
MYR
MVR
MTL
MRO
MUR
MXN
MDL
MNT
MAD
MAD
MZN
MMK
NAD
NPR
NIO
NGN
OMR
PKR
PAB
PGK
PYG
PEN
PHP
PLN
QAR
RON
RUB
RWF
STD
SAR
SCR
SLL
SGD
SKK
SBD
SOS
ZAR
LKR
SDG
SRD
SZL
SEK
SYP
TWD
TJS
TZS
THB
TOP
TTD
TND
TRY
TMT
UGX
UAH
AED
UYU
UZS
VUV
VEF
VND
YER
ZMK
ZWD
EUR
AOA
AQD
BAM
CDF
GHS
GGP
GBP
LAK
MOP
EUR
JOD
EUR
GBP
ANG
EUR
RSD
USD
